Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,3.730000,3.790000,3.710000,3.760000,3.632042,2479400
2023-07-19,3.770000,3.810000,3.750000,3.770000,3.641702,1844700
2023-07-20,3.800000,3.810000,3.730000,3.780000,3.651361,1355800
2023-07-21,3.790000,3.880000,3.710000,3.850000,3.718979,3069600
2023-07-24,3.950000,4.100000,3.920000,4.000000,3.863874,4652000
2023-07-25,4.000000,4.180000,4.000000,4.050000,3.912173,3656300
2023-07-26,4.040000,4.110000,4.030000,4.080000,3.941152,1614100
2023-07-27,4.090000,4.150000,4.080000,4.100000,3.960471,2131000
2023-07-28,4.100000,4.270000,4.090000,4.250000,4.105367,2724700
2023-07-31,4.320000,4.400000,4.300000,4.390000,4.240602,3852800
2023-08-01,4.380000,4.380000,4.300000,4.360000,4.211623,2182400
2023-08-02,4.300000,4.340000,4.240000,4.320000,4.172985,1909900
2023-08-03,4.350000,4.430000,4.300000,4.410000,4.259922,2274700
2023-08-04,4.390000,4.430000,4.290000,4.330000,4.182644,2315700
2023-08-07,4.380000,4.380000,4.260000,4.340000,4.192304,2169500
2023-08-08,4.280000,4.320000,4.210000,4.300000,4.153665,2009300
2023-08-09,4.320000,4.480000,4.300000,4.430000,4.279241,2715600
2023-08-10,4.440000,4.480000,4.380000,4.420000,4.269581,2380000
2023-08-11,4.400000,4.400000,4.110000,4.130000,3.989450,3525100
2023-08-14,4.100000,4.130000,4.010000,4.130000,3.989450,2923400
2023-08-15,4.100000,4.140000,4.080000,4.120000,3.979790,1850800
2023-08-16,4.120000,4.240000,4.120000,4.130000,3.989450,2164000
2023-08-17,4.130000,4.190000,4.090000,4.140000,3.999110,2374000
2023-08-18,4.100000,4.190000,4.080000,4.180000,4.037749,1746500
2023-08-21,4.180000,4.210000,4.130000,4.160000,4.018429,1933700
2023-08-22,4.180000,4.230000,4.130000,4.190000,4.047409,1502200
2023-08-23,4.150000,4.220000,4.100000,4.220000,4.076387,1776300
2023-08-24,4.230000,4.300000,4.200000,4.200000,4.057068,1815100
2023-08-25,4.210000,4.220000,4.060000,4.100000,3.960471,3127600
2023-08-28,4.140000,4.320000,3.920000,3.970000,3.834895,6558900
2023-08-29,4.030000,4.180000,3.970000,4.120000,3.979790,3683300
2023-08-30,4.120000,4.150000,4.000000,4.010000,3.873534,3725500
2023-08-31,4.040000,4.040000,3.890000,3.910000,3.776937,4684900
2023-09-01,3.970000,3.990000,3.900000,3.920000,3.786597,3040700
2023-09-05,3.920000,3.930000,3.770000,3.810000,3.680340,4236300
2023-09-06,3.830000,3.880000,3.790000,3.820000,3.690000,2732200
2023-09-07,3.800000,3.810000,3.730000,3.740000,3.612723,3044100
2023-09-08,3.760000,3.930000,3.760000,3.920000,3.786597,2060400
2023-09-11,3.920000,3.950000,3.800000,3.840000,3.709319,2840900
2023-09-12,3.860000,3.890000,3.810000,3.820000,3.690000,2709100
2023-09-13,3.750000,3.820000,3.690000,3.700000,3.700000,2716400
2023-09-14,3.730000,3.860000,3.730000,3.780000,3.780000,2867700
2023-09-15,3.760000,3.820000,3.730000,3.780000,3.780000,3345500
2023-09-18,3.810000,3.990000,3.790000,3.940000,3.940000,4354800
2023-09-19,3.990000,4.040000,3.920000,3.930000,3.930000,3026600
2023-09-20,3.960000,3.980000,3.880000,3.880000,3.880000,1575600
2023-09-21,3.880000,3.940000,3.800000,3.860000,3.860000,2217000
2023-09-22,3.860000,3.990000,3.860000,3.950000,3.950000,2706400
2023-09-25,3.900000,3.990000,3.900000,3.980000,3.980000,1834300
2023-09-26,3.950000,4.050000,3.930000,4.000000,4.000000,2822000
2023-09-27,4.040000,4.090000,3.990000,4.020000,4.020000,1701300
2023-09-28,4.010000,4.060000,3.960000,4.050000,4.050000,1879800
2023-09-29,4.050000,4.120000,4.030000,4.120000,4.120000,4956300
2023-10-02,4.110000,4.170000,3.940000,3.940000,3.940000,3343400
2023-10-03,3.930000,3.970000,3.840000,3.910000,3.910000,2362700
2023-10-04,3.880000,3.890000,3.790000,3.850000,3.850000,2260200
2023-10-05,3.880000,4.010000,3.870000,4.000000,4.000000,2749300
2023-10-06,3.960000,4.080000,3.950000,4.050000,4.050000,2064453
