Date,Open,High,Low,Close,Adj Close,Volume
2022-11-23,56.320000,57.000000,56.110001,56.830002,55.183670,3203577
2022-11-25,57.000000,57.540001,56.779999,56.820000,55.173954,1500910
2022-11-28,56.490002,57.055000,56.255001,56.490002,54.853519,3806189
2022-11-29,57.270000,58.029999,57.270000,57.619999,55.950779,4289617
2022-11-30,58.470001,58.740002,57.856201,58.470001,56.776157,5377406
2022-12-01,58.689999,58.770000,57.910000,58.049999,56.368320,4084642
2022-12-02,57.720001,58.209999,57.485001,57.720001,56.047882,3510813
2022-12-05,58.770000,58.970001,57.105000,57.400002,55.737156,5917006
2022-12-06,57.520000,58.029999,56.509998,56.680000,55.038010,6428901
2022-12-07,56.959999,57.320000,56.349998,56.349998,54.717567,5444943
2022-12-08,57.209999,57.435001,56.369999,56.590000,54.950615,4571387
2022-12-09,56.270000,56.779999,55.610001,55.610001,53.999008,4283357
2022-12-12,56.060001,56.564999,55.880001,56.360001,54.727280,4491861
2022-12-13,57.369999,57.744999,57.150002,57.380001,55.717731,5091499
2022-12-14,57.380001,57.480000,56.540001,56.759998,55.115692,4325588
2022-12-15,56.759998,56.900002,55.779999,56.150002,54.523365,6087661
2022-12-16,54.939999,55.259998,54.400002,54.959999,53.367840,6956962
2022-12-19,56.240002,56.340000,55.290001,55.520000,53.911613,5096775
2022-12-20,55.980000,56.529999,55.779999,56.130001,54.503941,4430725
2022-12-21,57.240002,57.759998,56.720001,57.599998,55.931358,4917419
2022-12-22,57.459999,57.599998,55.970001,56.740002,55.096275,3748871
2022-12-23,57.160000,57.779999,56.955002,57.779999,56.106148,2572147
2022-12-27,57.849998,58.040001,57.590000,57.869999,56.193535,2395120
2022-12-28,57.930000,57.930000,56.389999,56.560001,54.921490,4140448
2022-12-29,56.889999,57.049999,56.669998,56.669998,55.028297,3415063
2022-12-30,56.480000,56.970001,56.459999,56.950001,55.300194,2068550
2023-01-03,57.470001,57.794998,55.939999,55.980000,54.358288,7766476
2023-01-04,55.810001,55.970001,55.130001,55.430000,53.824223,5712988
2023-01-05,54.990002,55.569698,54.970001,55.480000,53.872772,4266050
2023-01-06,56.119999,57.285000,56.040001,57.250000,55.591499,5845518
2023-01-09,58.160000,58.601002,57.700001,58.070000,56.387745,4939246
2023-01-10,57.950001,58.476898,57.689999,58.369999,56.679050,3475500
2023-01-11,58.730000,58.959999,58.320000,58.930000,57.222832,3113956
2023-01-12,59.130001,59.775002,58.689999,59.619999,57.892838,3942425
2023-01-13,59.590000,59.950001,59.410000,59.610001,57.883129,3619767
2023-01-17,59.630001,60.119999,59.244999,59.400002,57.679214,3301583
2023-01-18,60.020000,60.139999,58.325001,58.389999,56.698471,4893268
2023-01-19,58.349998,59.209999,58.154999,59.130001,57.417038,3563568
2023-01-20,58.490002,58.990002,58.154999,58.900002,57.193703,4272295
2023-01-23,58.365002,58.830002,58.349998,58.630001,56.931522,3219155
2023-01-24,51.259998,58.400002,56.259998,57.990002,56.310062,3125185
2023-01-25,57.779999,57.990002,57.279999,57.840000,56.164406,4033854
2023-01-26,58.230000,58.666000,57.639999,58.520000,56.824711,3815540
2023-01-27,58.939999,59.180000,58.400002,58.509998,56.814995,2599115
2023-01-30,58.720001,58.902401,58.305000,58.410000,56.717892,3953046
2023-01-31,58.180000,58.875000,57.779999,58.810001,57.106308,3360666
2023-02-01,58.680000,58.889999,57.500000,58.320000,56.630501,5282193
2023-02-02,59.630001,59.639999,56.910000,57.630001,55.960487,9676816
2023-02-03,58.160000,59.130001,57.959999,58.299999,56.611080,5750011
2023-02-06,58.000000,58.189999,57.205002,57.849998,56.174118,5409777
2023-02-07,58.310001,59.720001,58.240002,59.610001,57.883129,4831599
2023-02-08,59.630001,59.880001,58.840000,59.470001,57.747189,5212568
2023-02-09,60.169998,60.338001,59.724998,59.790001,58.057919,4918346
2023-02-10,60.950001,61.855000,60.759998,61.759998,59.970844,7372318
2023-02-13,61.549999,61.990002,61.369999,61.830002,60.038822,4526171
2023-02-14,61.869999,62.750000,61.720001,62.580002,60.767094,5795144
2023-02-15,62.009998,62.570000,61.634998,62.459999,60.650562,6946412
2023-02-16,61.709999,62.380001,61.590000,61.900002,60.665268,5075158
2023-02-17,61.130001,61.220001,60.500000,60.660000,59.450005,5071012
2023-02-21,60.139999,60.500000,60.049999,60.070000,58.871773,3071355
2023-02-22,59.610001,59.724998,58.674999,58.950001,57.774113,4332574
2023-02-23,59.810001,60.439999,59.623501,60.259998,59.057980,4144024
2023-02-24,59.570000,60.689999,59.340000,60.630001,59.420601,5069046
2023-02-27,60.900002,61.544998,60.590000,61.200001,59.979233,4710210
2023-02-28,61.580002,61.599998,60.750000,60.770000,59.557808,5055244
2023-03-01,61.500000,62.080002,61.250000,61.939999,60.704468,4300198
2023-03-02,61.520000,62.494999,61.369999,62.419998,61.174896,4041439
2023-03-03,61.419998,62.416599,61.299999,62.299999,61.057285,4237293
2023-03-06,62.310001,62.730000,62.160000,62.570000,61.321903,3306147
2023-03-07,62.349998,62.360001,61.320000,61.599998,60.371250,3146586
2023-03-08,61.509998,61.930000,61.020000,61.369999,60.145836,2837335
2023-03-09,61.250000,61.669998,60.540001,60.660000,59.450005,3348425
2023-03-10,61.250000,61.693100,60.189999,60.360001,59.155987,4493262
2023-03-13,58.310001,60.160000,58.080002,59.099998,57.921120,6706667
2023-03-14,59.389999,60.380001,58.834999,59.400002,58.215137,4932262
2023-03-15,55.570000,56.020000,54.509998,55.549999,54.441929,11421323
2023-03-16,53.070000,54.709999,52.470001,54.639999,53.550083,12526152
2023-03-17,54.549999,54.705002,53.580002,53.950001,52.873852,8845638
2023-03-20,54.759998,55.630001,54.480000,55.240002,54.138119,5500597
2023-03-21,57.169998,57.439999,56.325001,57.119999,55.980614,7023901
2023-03-22,56.980000,57.955002,56.830002,56.849998,55.716000,7104574
2023-03-23,56.990002,57.349998,55.544998,55.970001,54.853558,7498669
2023-03-24,53.950001,54.825001,53.740002,54.570000,53.481480,9647766
2023-03-27,55.189999,56.077000,54.869999,55.840000,54.726147,4769003
2023-03-28,55.599998,56.560001,55.529999,56.169998,55.049564,5304799
2023-03-29,57.139999,57.150002,56.770000,57.119999,55.980614,3250394
2023-03-30,58.110001,58.130001,57.529999,57.939999,56.784256,3522244
2023-03-31,57.549999,57.790001,57.360001,57.540001,56.392239,5167569
2023-04-03,60.750000,61.130100,60.000000,60.509998,59.302994,7789641
2023-04-04,60.200001,60.209999,59.110001,59.500000,58.313141,5158938
2023-04-05,59.700001,59.910000,59.009998,59.869999,58.675762,3738038
2023-04-06,60.470001,60.880001,60.130001,60.570000,59.361797,4338182
2023-04-10,60.230000,60.955002,60.230000,60.799999,59.587212,2851074
2023-04-11,61.000000,61.095001,60.715000,60.779999,59.567608,3807005
2023-04-12,61.689999,61.840000,61.255001,61.380001,60.155640,4039765
2023-04-13,61.750000,62.145000,61.560001,62.070000,60.831879,3582535
2023-04-14,62.110001,62.310001,61.650002,62.060001,60.822075,3596442
2023-04-17,61.570000,61.689999,61.200001,61.490002,60.263451,3913338
2023-04-18,61.400002,61.950600,61.240002,61.910000,60.675068,3430240
2023-04-19,61.459999,61.639999,61.259998,61.500000,60.273247,3729779
2023-04-20,60.849998,61.660000,60.830002,61.650002,60.420258,4531069
2023-04-21,61.439999,61.580002,61.119999,61.459999,60.234043,3703752
2023-04-24,61.259998,62.070000,61.230000,62.000000,60.763271,3193965
2023-04-25,61.529999,61.580002,60.279999,60.709999,59.499004,4815114
2023-04-26,61.299999,61.451000,60.279999,60.490002,59.283394,3463368
2023-04-27,60.139999,60.930000,60.029999,60.680000,59.469604,4111200
2023-04-28,60.810001,62.230000,60.610001,61.980000,60.743671,4411813
2023-05-01,61.459999,62.029999,61.174999,61.380001,60.155640,2492270
2023-05-02,60.560001,60.580002,58.625000,59.250000,58.068127,8409357
2023-05-03,58.419998,59.090000,58.250000,58.520000,57.352688,6056727
2023-05-04,59.330002,60.150002,59.090000,59.340000,58.156334,6873805
2023-05-05,60.480000,61.389999,60.470001,61.130001,59.910625,4957648
2023-05-08,61.880001,61.980000,60.770000,60.860001,59.646015,4120153
2023-05-09,59.959999,61.134998,59.825001,60.840000,59.626411,3929929
2023-05-10,61.560001,61.590000,60.630001,61.000000,59.783222,3668686
2023-05-11,59.849998,60.419998,59.520000,60.340000,59.136383,3202373
2023-05-12,60.759998,61.070000,60.139999,60.360001,59.155987,3007570
2023-05-15,60.580002,61.150002,60.400002,60.919998,59.704815,2691564
2023-05-16,60.340000,60.730000,59.855000,59.910000,58.714962,3547073
2023-05-17,60.419998,60.965000,59.990002,60.790001,59.577408,3782456
2023-05-18,60.430000,60.439999,59.580002,60.060001,59.424049,5674548
2023-05-19,60.750000,60.955002,60.290001,60.419998,59.780235,3615164
2023-05-22,60.119999,60.439999,59.985001,60.029999,59.394367,2964172
2023-05-23,60.369999,60.770000,60.090000,60.360001,59.720875,3265973
2023-05-24,59.930000,60.040001,59.290001,59.540001,58.909557,4587894
2023-05-25,58.459999,58.599998,57.939999,58.389999,57.771732,5200606
2023-05-26,58.759998,58.919998,58.435001,58.779999,58.157600,3448964
2023-05-30,57.500000,57.939999,57.215000,57.490002,56.881264,3343556
2023-05-31,56.020000,56.330002,55.775002,56.000000,55.407040,6159243
2023-06-01,56.180000,57.410000,56.029999,57.090000,56.485497,4418013
2023-06-02,57.860001,58.450001,57.770000,58.259998,57.643108,4469082
2023-06-05,58.349998,58.384998,57.564999,57.709999,57.098930,4556609
2023-06-06,56.360001,57.730000,56.310001,57.700001,57.089039,5449934
2023-06-07,57.439999,58.314999,57.430000,58.200001,57.583744,6636455
2023-06-08,58.410000,59.000000,58.060001,58.840000,58.216969,6165899
2023-06-09,58.259998,58.770000,57.990002,58.430000,57.811310,3693359
2023-06-12,58.009998,58.400002,57.549999,57.820000,57.207767,4920785
2023-06-13,58.389999,59.099998,58.279999,58.389999,57.771732,5433135
2023-06-14,59.580002,59.990002,58.959999,59.360001,58.731461,7493266
2023-06-15,59.900002,61.090000,59.820000,60.680000,60.037483,8191054
2023-06-16,60.599998,60.965000,60.220001,60.349998,59.710976,6410520
2023-06-20,60.330002,60.380001,59.580002,60.330002,59.691193,4645056
2023-06-21,60.070000,61.169998,60.029999,60.750000,60.106743,4866331
2023-06-22,60.270000,60.471001,60.060001,60.090000,59.453732,3548701
2023-06-23,59.720001,60.185001,59.535000,59.599998,58.968918,4421843
2023-06-26,60.119999,60.540001,60.090000,60.200001,59.562569,3074750
2023-06-27,60.110001,60.169998,59.669998,59.939999,59.305317,3459483
2023-06-28,59.340000,59.755001,58.860001,59.639999,59.008495,3701046
2023-06-29,59.599998,59.980000,59.435001,59.849998,59.216270,3848775
2023-06-30,60.320000,60.570000,60.020000,60.380001,59.740662,4458981
2023-07-03,61.259998,61.310001,60.720001,60.860001,60.215580,3121855
2023-07-05,60.680000,60.730000,59.730000,59.860001,59.226170,4406581
2023-07-06,58.880001,59.070000,58.139999,58.529999,57.910248,4478856
2023-07-07,58.610001,59.919998,58.580002,59.650002,59.018391,4802897
2023-07-10,59.759998,60.294998,59.709999,59.919998,59.285530,3409529
2023-07-11,60.200001,60.889999,60.200001,60.869999,60.225471,4291898
2023-07-12,62.070000,62.299999,61.599998,61.790001,61.135731,4888022
2023-07-13,62.310001,62.599998,61.920101,62.110001,61.452343,5043050
2023-07-14,62.299999,62.299999,60.619999,60.680000,60.037483,6420971
2023-07-17,61.220001,61.320000,60.810001,60.810001,60.166111,5324870
2023-07-18,60.869999,61.435001,60.770000,61.040001,60.393673,5030586
2023-07-19,61.459999,61.897900,61.395000,61.730000,61.076366,4085140
2023-07-20,62.349998,62.680000,62.150002,62.599998,61.937153,3701146
2023-07-21,62.820000,62.980000,62.580002,62.970001,62.303238,4425165
2023-07-24,62.889999,63.689999,62.860001,63.380001,62.708897,5758797
2023-07-25,62.669998,63.230000,62.299999,63.029999,62.362598,4895979
2023-07-26,62.320000,62.785000,62.224998,62.619999,61.956944,4484023
2023-07-27,61.590000,61.880001,60.680000,60.799999,60.156212,7348255
2023-07-28,60.810001,61.330002,60.610001,60.939999,60.294731,3903043
2023-07-31,61.400002,61.919998,61.310001,61.630001,60.977425,5239894
2023-08-01,61.220001,61.435001,60.660000,61.020000,60.373886,4749446
2023-08-02,60.360001,60.430000,59.505001,59.919998,59.285530,5583412
2023-08-03,59.830002,60.729900,59.584999,60.590000,59.948437,4607290
2023-08-04,61.200001,61.985001,61.090000,61.150002,60.502510,4267497
2023-08-07,61.549999,61.650002,61.215000,61.439999,60.789436,3972654
2023-08-08,60.700001,61.740002,60.340000,61.680000,61.026897,3694454
2023-08-09,62.279999,62.779999,62.240002,62.520000,61.858002,4999187
2023-08-10,62.639999,63.095001,62.205002,62.320000,62.320000,3763521
